"N","FO.15","FO.17","change","diff","se.diff","t","p","assmbl"
"Thaumarchaeota",24,12,1,-0.92,-3.13549412781411,1.09987525915263,-2.85077248689981,0.00436131634633782,"Bacteria"
"Firmicutes",24,13,5,-0.62,-1.50205515139499,0.648431608107009,-2.31644345003476,0.0205340686998227,"Bacteria"
"Cyanobacteria",24,15,7,-0.53,-1.3981288187653,0.616001792313339,-2.26968303698396,0.0232268213518852,"Bacteria"
"Patescibacteria",24,16,8,-0.5,-1.38629436111949,0.612372323257051,-2.26380962768883,0.0235858261206537,"Bacteria"
"Tenericutes",24,13,6,-0.54,-1.26566637332831,0.624543038740452,-2.02654788352272,0.0427086710354839,"Bacteria"
"Fibrobacteres",24,6,1,-0.83,-2.036881839146,1.12484716350768,-1.8108076414526,0.0701706330496255,"Bacteria"
"Centroheliozoa",24,20,12,-0.4,-1.60943791169281,0.683123147909002,-2.35599967095128,0.0184729340600823,"Protists"
"Rhodophyta",24,20,13,-0.35,-1.44238382718142,0.683975067026117,-2.10882515564905,0.0349596764081977,"Protists"
"Opisthokonta_X",24,20,14,-0.3,-1.27296567581289,0.686606561867434,-1.85399579105489,0.0637397621529234,"Protists"
